Human_Readable_Topic,update_date,Categories
Hypergraph and Graph Neural Networks,2023-08-14,Core Models and Architectures
Continual Learning for Image Segmentation,2022-12-29,Learning Paradigms
Algebraic Geometry and Representation Theory,2024-02-20,Core Models and Architectures
Sentence Embeddings and Semantic Meaning Analysis,2023-01-24,Core Models and Architectures
Sentence Embeddings and Semantic Meaning Analysis,2023-01-24,Evaluation and Benchmarks
Speech-to-Text and Audio Processing,2023-05-30,Applications and Use Cases
Job Title Normalization and Recommendation Systems,2023-10-25,Applications and Use Cases
Personalized Recommendation Systems,2023-11-02,Applications and Use Cases
Riemannian Manifolds and Conformal Metrics,2024-03-11,Core Models and Architectures
Multi-Object Tracking and Visual Trackers,2023-02-23,Applications and Use Cases
Speech-to-Text and Audio Processing,2023-07-13,Applications and Use Cases
Manifold Learning and Dimensionality Reduction,2023-05-09,Core Models and Architectures
Planar Graph Algorithms and Properties,2024-09-02,Core Models and Architectures
Deep Learning Models for Tabular Data,2023-10-27,Core Models and Architectures
Algebraic Geometry and Representation Theory,2023-01-12,Core Models and Architectures
Riemannian Manifolds and Conformal Metrics,2023-05-11,Core Models and Architectures
Set Theory and Algebraic Structures,2023-10-31,Core Models and Architectures
Riemannian Manifolds and Conformal Metrics,2024-10-30,Core Models and Architectures
Hypergraph and Graph Neural Networks,2024-05-10,Core Models and Architectures
Fractional Sobolev Embeddings,2023-07-19,Core Models and Architectures
Algebraic Geometry and Representation Theory,2024-08-05,Core Models and Architectures
Group Theory and Embeddings,2023-01-26,Core Models and Architectures
Entity Alignment in Knowledge Graphs,2023-06-08,Core Models and Architectures
Entity Alignment in Knowledge Graphs,2023-06-08,Applications and Use Cases
Gender Bias in Large Language Models,2024-09-13,Societal Impacts and Ethics
Speech-to-Text and Audio Processing,2023-06-06,Applications and Use Cases
Emotion Recognition and Analysis in Text,2023-03-06,Applications and Use Cases
Personalized Recommendation Systems,2022-12-06,Applications and Use Cases
Unsupervised Domain Adaptation Methods,2024-10-08,Learning Paradigms
Unsupervised Domain Adaptation Methods,2024-10-08,Optimization Techniques
Personalized Recommendation Systems,2024-05-08,Applications and Use Cases
Quantum Machine Learning and Neural Networks,2023-01-31,Core Models and Architectures
Quantum Machine Learning and Neural Networks,2023-01-31,Infrastructure and Tools
Time Series Forecasting with Deep Learning Models,2023-12-29,Applications and Use Cases
Personalized Recommendation Systems,2024-04-30,Applications and Use Cases
Set Theory and Algebraic Structures,2023-05-05,Core Models and Architectures
Riemannian Manifolds and Conformal Metrics,2023-08-07,Core Models and Architectures
Legal Language Models Evaluation,2023-05-12,Evaluation and Benchmarks
Legal Language Models Evaluation,2023-05-12,Applications and Use Cases
Hypergraph and Graph Neural Networks,2023-03-29,Core Models and Architectures
Syntactic Parsing and Linguistic Analysis in NLP,2024-05-24,Core Models and Architectures
Syntactic Parsing and Linguistic Analysis in NLP,2024-05-24,Applications and Use Cases
Knowledge Distillation in Neural Networks,2024-10-28,Optimization Techniques
Knowledge Distillation in Neural Networks,2024-10-28,Core Models and Architectures
Algebraic Geometry and Representation Theory,2023-02-20,Core Models and Architectures
Algebraic Geometry and Representation Theory,2023-07-04,Core Models and Architectures
Phishing Emails and Cybersecurity Threats,2023-09-06,Applications and Use Cases
Phishing Emails and Cybersecurity Threats,2023-09-06,Societal Impacts and Ethics
Planar Graph Algorithms and Properties,2024-08-28,Core Models and Architectures
Planar Graph Algorithms and Properties,2024-06-12,Core Models and Architectures
Algebraic Geometry and Representation Theory,2022-12-20,Core Models and Architectures
Human Mobility and Traffic Prediction,2024-02-06,Applications and Use Cases
Algebraic Geometry and Representation Theory,2024-04-24,Core Models and Architectures
Topological Data Analysis and Embeddings,2023-05-05,Core Models and Architectures
Topological Data Analysis and Embeddings,2023-05-05,Infrastructure and Tools
Planar Graph Algorithms and Properties,2024-03-27,Core Models and Architectures
Planar Graph Algorithms and Properties,2023-07-14,Core Models and Architectures
Face Forgery Detection and Recognition,2023-04-03,Applications and Use Cases
Face Forgery Detection and Recognition,2023-04-03,Societal Impacts and Ethics
Personalized Recommendation Systems,2024-03-19,Applications and Use Cases
Algebraic Geometry and Representation Theory,2024-09-04,Core Models and Architectures
Missing Value Imputation Methods,2023-06-22,Applications and Use Cases
Face Forgery Detection and Recognition,2023-09-29,Applications and Use Cases
Face Forgery Detection and Recognition,2023-09-29,Societal Impacts and Ethics
Action Recognition in Videos using Transformers,2023-08-21,Core Models and Architectures
Action Recognition in Videos using Transformers,2023-08-21,Applications and Use Cases
Partial Differential Equation Solvers,2024-06-19,Applications and Use Cases
Topological Data Analysis and Embeddings,2023-07-10,Core Models and Architectures
Topological Data Analysis and Embeddings,2023-07-10,Infrastructure and Tools
Self-Supervised Learning for SAR Imagery Analysis,2024-02-06,Applications and Use Cases
Sentence Embeddings and Semantic Meaning Analysis,2024-06-13,Core Models and Architectures
Sentence Embeddings and Semantic Meaning Analysis,2024-06-13,Evaluation and Benchmarks
Set Theory and Algebraic Structures,2023-02-24,Core Models and Architectures
Sentence Embeddings and Semantic Meaning Analysis,2022-12-20,Core Models and Architectures
Sentence Embeddings and Semantic Meaning Analysis,2022-12-20,Evaluation and Benchmarks
Set Theory and Algebraic Structures,2023-05-30,Core Models and Architectures
Set Theory and Algebraic Structures,2024-01-02,Core Models and Architectures
Planar Graph Algorithms and Properties,2023-10-25,Core Models and Architectures
Set Theory and Algebraic Structures,2023-09-13,Core Models and Architectures
Human Mobility and Traffic Prediction,2024-08-06,Applications and Use Cases
Metric Embeddings and Approximation Algorithms,2024-03-01,Core Models and Architectures
Metric Embeddings and Approximation Algorithms,2024-03-01,Optimization Techniques
Algebraic Geometry and Representation Theory,2023-06-16,Core Models and Architectures
Self-Supervised Learning and Deep Metric Learning,2023-01-02,Core Models and Architectures
Self-Supervised Learning and Deep Metric Learning,2023-01-02,Learning Paradigms
Diffusion Models for Text-Guided Image Generation and Editing,2024-03-11,Applications and Use Cases
Large Language Models in Healthcare Applications,2023-11-08,Applications and Use Cases
Fractional Sobolev Embeddings,2024-03-13,Core Models and Architectures
Self-Supervised Learning for SAR Imagery Analysis,2022-11-30,Applications and Use Cases
Sentence Embeddings and Semantic Meaning Analysis,2023-03-07,Core Models and Architectures
Sentence Embeddings and Semantic Meaning Analysis,2023-03-07,Evaluation and Benchmarks
Personalized Portrait Generation with Diffusion Models,2023-12-14,Applications and Use Cases
Autonomous Driving Technologies,2023-01-02,Applications and Use Cases
Self-Supervised Learning and Deep Metric Learning,2023-03-10,Core Models and Architectures
Self-Supervised Learning and Deep Metric Learning,2023-03-10,Learning Paradigms
Personalized Recommendation Systems,2023-10-06,Applications and Use Cases
Planar Graph Algorithms and Properties,2023-03-01,Core Models and Architectures
Large Language Models in Healthcare Applications,2023-03-14,Applications and Use Cases
Set Theory and Algebraic Structures,2023-08-01,Core Models and Architectures
Document-Level Relation Extraction,2023-10-10,Applications and Use Cases
Fractional Sobolev Embeddings,2023-05-22,Core Models and Architectures
Fractional Sobolev Embeddings,2022-12-27,Core Models and Architectures
Robot Manipulation and Autonomous Systems,2023-02-01,Applications and Use Cases
Quantum Entanglement and Generalised Probabilistic Theories,2022-12-08,Core Models and Architectures
Personalized Recommendation Systems,2023-01-13,Applications and Use Cases
Financial NLP and Large Language Models,2023-05-31,Applications and Use Cases
Self-Supervised Learning and Deep Metric Learning,2023-06-13,Core Models and Architectures
Self-Supervised Learning and Deep Metric Learning,2023-06-13,Learning Paradigms
Continual Learning for Image Segmentation,2023-04-24,Learning Paradigms
Algebraic Geometry and Representation Theory,2024-11-20,Core Models and Architectures
Emotion Recognition and Analysis in Text,2023-03-27,Applications and Use Cases
Keyphrase Generation and Evaluation,2023-03-01,Evaluation and Benchmarks
Keyphrase Generation and Evaluation,2023-03-01,Applications and Use Cases
Sentence Embeddings and Semantic Meaning Analysis,2023-02-07,Core Models and Architectures
Sentence Embeddings and Semantic Meaning Analysis,2023-02-07,Evaluation and Benchmarks
Quantum Machine Learning and Neural Networks,2024-07-24,Core Models and Architectures
Quantum Machine Learning and Neural Networks,2024-07-24,Infrastructure and Tools
Algebraic Geometry and Representation Theory,2023-01-25,Core Models and Architectures
Quantum Machine Learning and Neural Networks,2023-05-24,Core Models and Architectures
Quantum Machine Learning and Neural Networks,2023-05-24,Infrastructure and Tools
Relational Reasoning in Neural Networks,2023-09-11,Core Models and Architectures
Evolutionary Algorithms with Large Language Models,2024-09-26,Core Models and Architectures
Evolutionary Algorithms with Large Language Models,2024-09-26,Optimization Techniques
3D Point Cloud Processing and Learning,2023-02-06,Core Models and Architectures
Speech-to-Text and Audio Processing,2023-02-13,Applications and Use Cases
Audio Captioning and Representation Learning,2024-11-22,Applications and Use Cases
Audio Captioning and Representation Learning,2024-11-22,Core Models and Architectures
Diffusion Models for Text-Guided Image Generation and Editing,2023-03-21,Applications and Use Cases
Algebraic Geometry and Representation Theory,2023-07-11,Core Models and Architectures
Domain Generalization and Adaptation,2023-05-02,Learning Paradigms
Robot Manipulation and Autonomous Systems,2023-03-07,Applications and Use Cases
Retrieval-Augmented Generation for Large Language Models,2023-05-09,Applications and Use Cases
Manifold Learning and Dimensionality Reduction,2024-06-06,Core Models and Architectures
Topological Data Analysis and Embeddings,2023-11-28,Core Models and Architectures
Topological Data Analysis and Embeddings,2023-11-28,Infrastructure and Tools
Backdoor Attacks and Defenses in Deep Learning,2023-03-15,Societal Impacts and Ethics
Backdoor Attacks and Defenses in Deep Learning,2023-03-15,Core Models and Architectures
Metric Embeddings and Approximation Algorithms,2023-11-22,Core Models and Architectures
Metric Embeddings and Approximation Algorithms,2023-11-22,Optimization Techniques
Text-to-Motion Generation and Animation,2023-04-17,Applications and Use Cases
Load Forecasting with Deep Learning Models,2023-07-19,Applications and Use Cases
Deep Learning Neural Networks,2023-02-24,Core Models and Architectures
3D Human Pose Estimation,2023-03-17,Applications and Use Cases
Speech-to-Text and Audio Processing,2023-03-14,Applications and Use Cases
Sentence Embeddings and Semantic Meaning Analysis,2023-03-24,Core Models and Architectures
Sentence Embeddings and Semantic Meaning Analysis,2023-03-24,Evaluation and Benchmarks
